treatment,trial,arm,advice,genuine,headline,original,expert_id,sentiment,expert:ethnicity,expert:sex,expert:age,outcome:white,outcome:black,outcome:male,outcome:female,outcome:young,outcome:old,trial_time
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,b8b4fj49,-1,White,Male,42,0,0,1,-1,0,0,0.6793985590338707
3,3,0,1.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,fx441a45,-1,Asian,Male,22,0,0,1,-1,0,0,0.2538423985242843
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,w6si2i2y,-1,White,Female,79,0,0,1,-1,0,0,0.4824400134384632
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,tw3f6761,-1,Black,Male,35,0,0,1,-1,0,0,0.4349471442401409
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,k9q3lqvl,-1,Black,Female,38,0,0,1,-1,0,0,0.4537439532577991
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,i5qr8g94,-1,White,Female,21,0,0,1,-1,0,0,0.2802253477275371
3,3,0,0.75,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,zw5nco5p,-1,Asian,Female,53,0,0,1,-1,0,0,0.7205389030277729
3,3,0,0.75,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,sn39yhaz,-1,White,Male,56,0,0,1,-1,0,0,0.4792873375117779
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,m6q2iasa,-1,White,Male,23,0,0,1,-1,0,0,0.4301216714084148
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,sdi54ooh,-1,Asian,Female,23,0,0,1,-1,0,0,0.5998446978628635
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,3cn56vly,-1,Black,Male,25,0,0,1,-1,0,0,0.2232738845050335
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,hfl2mx5p,-1,Mixed,Male,35,0,0,1,-1,0,0,0.3362095728516578
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,v0ityoyd,-1,Black,Male,59,0,0,1,-1,0,0,1.1434875503182411
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,n3a0mcpb,-1,White,Male,47,0,0,1,-1,0,0,0.5529061928391457
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,xs7z7fwv,-1,White,Female,57,0,0,1,-1,0,0,0.3690528273582458
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,fw13cbec,-1,Black,Male,25,0,0,1,-1,0,0,0.4326584562659263
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,1x2xky6i,-1,Asian,Female,35,0,0,1,-1,0,0,0.2780827358365059
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,pznzslzc,-1,White,Female,51,0,0,1,-1,0,0,0.4924219325184822
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,pltdpqon,-1,Other,Female,61,0,0,1,-1,0,0,0.46726119145751
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,djyymwqd,-1,Asian,Male,20,0,0,1,-1,0,0,0.4287959560751915
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,no74k0dv,-1,White,Female,58,0,0,1,-1,0,0,0.4896649941802025
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,0fxzqvja,-1,White,Male,35,0,0,1,-1,0,0,0.3557244166731834
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,thsbm21j,-1,White,Female,53,0,0,1,-1,0,0,0.4978481270372867
3,3,0,0.75,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,ng8tn0sa,-1,Asian,Male,37,0,0,1,-1,0,0,0.3229885324835777
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,nv6dtozd,-1,White,Male,26,0,0,1,-1,0,0,0.3526831641793251
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,ihsmgznr,-1,White,Female,64,0,0,1,-1,0,0,0.384929422289133
3,3,0,0.75,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,r1axe5yk,-1,DATA_EXPIRED,Female,32,0,0,1,-1,0,0,0.0507963523268699
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,g7n9d8xn,-1,Asian,Female,57,0,0,1,-1,0,0,0.5289570316672325
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,73w4u9o4,-1,Mixed,Female,57,0,0,1,-1,0,0,0.3613994196057319
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,q47fgffj,-1,Mixed,Male,41,0,0,1,-1,0,0,0.3352952860295772
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,tgla8t91,-1,White,Female,54,0,0,1,-1,0,0,0.5003378205001354
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,po1s0l1j,-1,Mixed,Male,53,0,0,1,-1,0,0,0.4711065851151943
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,xallide9,-1,Other,Female,29,0,0,1,-1,0,0,0.4656396061182022
3,3,0,0.0,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,yvyr2v4a,-1,Black,Male,20,0,0,1,-1,0,0,0.3571153283119201
3,3,0,0.75,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,lfy28okk,-1,White,Male,69,0,0,1,-1,0,0,0.5912025943398476
3,3,0,0.5,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,g317iqii,-1,Asian,Female,25,0,0,1,-1,0,0,0.3703073561191559
3,3,0,0.75,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,3xxq4hhx,-1,White,Male,41,0,0,1,-1,0,0,0.3206875994801521
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,ba0c1qib,-1,White,Male,24,0,0,1,-1,0,0,0.2718338929116726
3,3,0,0.25,0,Academic Says Women More Likely to Suicide Than Men,Academic Says Men More Likely to Suicide Than Women,u7iwc6bs,-1,Black,Female,37,0,0,1,-1,0,0,0.9628503881394864
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",j649xelo,-1,Other,Female,20,1,-1,0,0,0,0,0.3078660182654857
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",b8b4fj49,-1,White,Male,42,1,-1,0,0,0,0,0.6794842109084129
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",fx441a45,-1,Asian,Male,22,1,-1,0,0,0,0,0.1917396709322929
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",w6si2i2y,-1,White,Female,79,1,-1,0,0,0,0,0.406092669814825
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",tw3f6761,-1,Black,Male,35,1,-1,0,0,0,0,0.3137355856597423
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",k9q3lqvl,-1,Black,Female,38,1,-1,0,0,0,0,0.3991587460041046
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",i5qr8g94,-1,White,Female,21,1,-1,0,0,0,0,0.2800740785896778
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",zw5nco5p,-1,Asian,Female,53,1,-1,0,0,0,0,0.8560945615172386
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",sn39yhaz,-1,White,Male,56,1,-1,0,0,0,0,0.542381688952446
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",m6q2iasa,-1,White,Male,23,1,-1,0,0,0,0,0.2313855774700641
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",sdi54ooh,-1,Asian,Female,23,1,-1,0,0,0,0,0.3090458810329437
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",3cn56vly,-1,Black,Male,25,1,-1,0,0,0,0,0.0924686789512634
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",hfl2mx5p,-1,Mixed,Male,35,1,-1,0,0,0,0,0.3281785435974598
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",v0ityoyd,-1,Black,Male,59,1,-1,0,0,0,0,0.1553974263370037
3,11,2,0.25,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",n3a0mcpb,-1,White,Male,47,1,-1,0,0,0,0,0.2863448821008205
3,11,2,0.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",xs7z7fwv,-1,White,Female,57,1,-1,0,0,0,0,0.4723176993429661
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",fw13cbec,-1,Black,Male,25,1,-1,0,0,0,0,0.4604201503098011
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",1x2xky6i,-1,Asian,Female,35,1,-1,0,0,0,0,0.2046281956136226
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",pznzslzc,-1,White,Female,51,1,-1,0,0,0,0,0.4394050016999244
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",pltdpqon,-1,Other,Female,61,1,-1,0,0,0,0,0.3662190102040767
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",djyymwqd,-1,Asian,Male,20,1,-1,0,0,0,0,0.7128412835299969
3,11,2,0.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",no74k0dv,-1,White,Female,58,1,-1,0,0,0,0,0.4544137008488178
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",0fxzqvja,-1,White,Male,35,1,-1,0,0,0,0,0.2804962545633316
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",thsbm21j,-1,White,Female,53,1,-1,0,0,0,0,1.756387695670128
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",ng8tn0sa,-1,Asian,Male,37,1,-1,0,0,0,0,0.2230843640863895
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",nv6dtozd,-1,White,Male,26,1,-1,0,0,0,0,0.3275939188897609
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",ihsmgznr,-1,White,Female,64,1,-1,0,0,0,0,0.500500250607729
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",r1axe5yk,-1,DATA_EXPIRED,Female,32,1,-1,0,0,0,0,0.0418993607163429
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",g7n9d8xn,-1,Asian,Female,57,1,-1,0,0,0,0,0.5609313249588013
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",73w4u9o4,-1,Mixed,Female,57,1,-1,0,0,0,0,0.4959286414086818
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",q47fgffj,-1,Mixed,Male,41,1,-1,0,0,0,0,0.2789894640445709
3,11,2,0.25,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",tgla8t91,-1,White,Female,54,1,-1,0,0,0,0,0.252137828618288
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",po1s0l1j,-1,Mixed,Male,53,1,-1,0,0,0,0,0.341073527932167
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",xallide9,-1,Other,Female,29,1,-1,0,0,0,0,0.7805282175540924
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",yvyr2v4a,-1,Black,Male,20,1,-1,0,0,0,0,0.2451636530458927
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",lfy28okk,-1,White,Male,69,1,-1,0,0,0,0,0.3637682236731052
3,11,2,0.75,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",g317iqii,-1,Asian,Female,25,1,-1,0,0,0,0,0.4801268056035042
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",3xxq4hhx,-1,White,Male,41,1,-1,0,0,0,0,0.2650974653661251
3,11,2,1.0,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",ba0c1qib,-1,White,Male,24,1,-1,0,0,0,0,1.3876050375401974
3,11,2,0.5,0,"Across Age Groups, Blacks Fared Worse in Employment Rates","Across Age Groups, Whites Fared Worse in Employment Rates",u7iwc6bs,-1,Black,Female,37,1,-1,0,0,0,0,1.5646323002874851
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,l7c61gbd,-1,White,Female,91,1,-1,0,0,0,0,0.4197829216718673
1,3,2,0.25,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,oumuuy8i,-1,White,Male,37,1,-1,0,0,0,0,0.227245882153511
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,r39qp053,-1,White,Male,21,1,-1,0,0,0,0,0.1440950259566307
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,2434ja5e,-1,Mixed,Female,29,1,-1,0,0,0,0,3.3549078293144703
1,3,2,0.25,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,of5a2tqm,-1,White,Male,36,1,-1,0,0,0,0,0.2793436497449875
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,htn0s3xf,-1,White,Female,53,1,-1,0,0,0,0,0.4470316208899021
1,3,2,1.0,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,h049a1kd,-1,White,Male,24,1,-1,0,0,0,0,0.283306997269392
1,3,2,0.25,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,o9cdy797,-1,White,Female,58,1,-1,0,0,0,0,0.3818120695650577
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,qdq2ec3l,-1,Asian,Female,38,1,-1,0,0,0,0,0.2306688278913498
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,6ousqn7b,-1,Other,Male,26,1,-1,0,0,0,0,0.2208276912569999
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,bavpyj0a,-1,White,Male,35,1,-1,0,0,0,0,0.527808140963316
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,uh6jpv9z,-1,White,Female,54,1,-1,0,0,0,0,0.1850619241595268
1,3,2,1.0,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,9q8k04qe,-1,White,Male,43,1,-1,0,0,0,0,0.3690950088202953
1,3,2,0.5,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,sk1axweq,-1,Asian,Male,25,1,-1,0,0,0,0,0.2370570078492164
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,l40c4wxu,-1,White,Female,62,1,-1,0,0,0,0,0.2903395518660545
1,3,2,0.25,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,ezh6h6wb,-1,White,Male,32,1,-1,0,0,0,0,0.1356297358870506
1,3,2,0.75,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,on7hgqjm,-1,Other,Male,35,1,-1,0,0,0,0,0.1594853810966015
1,3,2,0.25,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,hpztib4b,-1,White,Male,25,1,-1,0,0,0,0,0.0993498973548412
1,3,2,0.5,1,African Americans Are More Likely to Be at Risk for Depression Than Whites,African Americans Are More Likely to Be at Risk for Depression Than Whites,b1qu6eiv,-1,White,Female,22,1,-1,0,0,0,0,2.123277802020312
